;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
272,-0.001328,-0.417462,-0.509122
273,-0.001327,-0.41898,-0.509122
274,-0.001326,-0.41898,-0.506086
275,-0.001325,-0.41898,-0.507604
276,-0.001324,-0.422016,-0.509122
277,-0.001323,-0.422016,-0.506086
278,-0.001322,-0.423534,-0.506086
279,-0.001321,-0.422016,-0.506086
280,-0.00132,-0.425052,-0.507604
281,-0.001319,-0.425052,-0.507604
282,-0.001318,-0.42657,-0.509122
283,-0.001317,-0.42657,-0.506086
284,-0.001316,-0.42657,-0.507604
285,-0.001315,-0.42657,-0.507604
286,-0.001314,-0.429607,-0.507604
287,-0.001313,-0.429607,-0.506086
288,-0.001312,-0.429607,-0.506086
289,-0.001311,-0.432643,-0.509122
290,-0.00131,-0.429607,-0.507604
291,-0.001309,-0.434161,-0.507604
292,-0.001308,-0.434161,-0.509122
293,-0.001307,-0.434161,-0.507604
294,-0.001306,-0.435679,-0.507604
295,-0.001305,-0.434161,-0.507604
296,-0.001304,-0.437197,-0.509122
297,-0.001303,-0.435679,-0.509122
298,-0.001302,-0.438715,-0.507604
299,-0.001301,-0.438715,-0.507604
300,-0.0013,-0.438715,-0.507604
301,-0.001299,-0.438715,-0.507604
302,-0.001298,-0.441751,-0.507604
303,-0.001297,-0.441751,-0.509122
304,-0.001296,-0.440233,-0.507604
305,-0.001295,-0.443269,-0.509122
306,-0.001294,-0.443269,-0.509122
307,-0.001293,-0.441751,-0.509122
308,-0.001292,-0.444787,-0.507604
309,-0.001291,-0.443269,-0.507604
310,-0.00129,-0.446305,-0.507604
311,-0.001289,-0.446305,-0.507604
312,-0.001288,-0.444787,-0.507604
313,-0.001287,-0.447823,-0.507604
314,-0.001286,-0.447823,-0.507604
315,-0.001285,-0.447823,-0.507604
316,-0.001284,-0.447823,-0.509122
317,-0.001283,-0.449341,-0.507604
318,-0.001282,-0.450859,-0.507604
319,-0.001281,-0.449341,-0.507604
320,-0.00128,-0.450859,-0.507604
321,-0.001279,-0.450859,-0.507604
322,-0.001278,-0.452377,-0.509122
323,-0.001277,-0.452377,-0.509122
324,-0.001276,-0.452377,-0.507604
325,-0.001275,-0.452377,-0.507604
326,-0.001274,-0.453895,-0.507604
327,-0.001273,-0.456931,-0.507604
328,-0.001272,-0.452377,-0.507604
329,-0.001271,-0.456931,-0.509122
330,-0.00127,-0.453895,-0.507604
331,-0.001269,-0.458449,-0.507604
332,-0.001268,-0.458449,-0.507604
333,-0.001267,-0.458449,-0.509122
334,-0.001266,-0.456931,-0.507604
335,-0.001265,-0.458449,-0.507604
336,-0.001264,-0.459967,-0.507604
337,-0.001263,-0.459967,-0.507604
338,-0.001262,-0.459967,-0.507604
339,-0.001261,-0.461485,-0.507604
340,-0.00126,-0.461485,-0.507604
341,-0.001259,-0.461485,-0.507604
342,-0.001258,-0.463004,-0.507604
343,-0.001257,-0.463004,-0.507604
344,-0.001256,-0.463004,-0.507604
345,-0.001255,-0.463004,-0.507604
346,-0.001254,-0.464522,-0.507604
347,-0.001253,-0.464522,-0.507604
348,-0.001252,-0.464522,-0.507604
349,-0.001251,-0.46604,-0.507604
350,-0.00125,-0.46604,-0.507604
351,-0.001249,-0.46604,-0.507604
352,-0.001248,-0.46604,-0.507604
353,-0.001247,-0.467558,-0.509122
354,-0.001246,-0.46604,-0.507604
355,-0.001245,-0.467558,-0.507604
356,-0.001244,-0.467558,-0.507604
357,-0.001243,-0.467558,-0.507604
