;Scopy version,dda5ec6
;Exported on,Monday January 17/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
323,-0.001277,-0.452955,-0.515195
324,-0.001276,-0.454473,-0.515195
325,-0.001275,-0.452955,-0.515195
326,-0.001274,-0.452955,-0.515195
327,-0.001273,-0.454473,-0.515195
328,-0.001272,-0.454473,-0.515195
329,-0.001271,-0.452955,-0.515195
330,-0.00127,-0.454473,-0.513677
331,-0.001269,-0.454473,-0.516713
332,-0.001268,-0.454473,-0.515195
333,-0.001267,-0.454473,-0.515195
334,-0.001266,-0.452955,-0.515195
335,-0.001265,-0.452955,-0.515195
336,-0.001264,-0.454473,-0.515195
337,-0.001263,-0.454473,-0.515195
338,-0.001262,-0.454473,-0.515195
339,-0.001261,-0.452955,-0.515195
340,-0.00126,-0.452955,-0.515195
341,-0.001259,-0.454473,-0.515195
342,-0.001258,-0.452955,-0.515195
343,-0.001257,-0.454473,-0.515195
344,-0.001256,-0.454473,-0.515195
345,-0.001255,-0.454473,-0.515195
346,-0.001254,-0.454473,-0.515195
347,-0.001253,-0.452955,-0.515195
348,-0.001252,-0.452955,-0.515195
349,-0.001251,-0.455991,-0.515195
350,-0.00125,-0.452955,-0.515195
351,-0.001249,-0.451437,-0.515195
352,-0.001248,-0.454473,-0.518231
353,-0.001247,-0.452955,-0.515195
354,-0.001246,-0.454473,-0.515195
355,-0.001245,-0.452955,-0.515195
356,-0.001244,-0.452955,-0.515195
357,-0.001243,-0.455991,-0.515195
358,-0.001242,-0.452955,-0.516713
359,-0.001241,-0.452955,-0.515195
360,-0.00124,-0.452955,-0.515195
361,-0.001239,-0.454473,-0.515195
362,-0.001238,-0.454473,-0.515195
363,-0.001237,-0.454473,-0.515195
364,-0.001236,-0.454473,-0.515195
365,-0.001235,-0.454473,-0.515195
366,-0.001234,-0.454473,-0.515195
367,-0.001233,-0.454473,-0.515195
368,-0.001232,-0.454473,-0.515195
369,-0.001231,-0.452955,-0.515195
370,-0.00123,-0.452955,-0.515195
371,-0.001229,-0.454473,-0.515195
372,-0.001228,-0.454473,-0.515195
373,-0.001227,-0.454473,-0.515195
374,-0.001226,-0.454473,-0.515195
375,-0.001225,-0.452955,-0.515195
376,-0.001224,-0.454473,-0.515195
377,-0.001223,-0.454473,-0.515195
378,-0.001222,-0.451437,-0.515195
379,-0.001221,-0.455991,-0.515195
380,-0.00122,-0.452955,-0.515195
381,-0.001219,-0.454473,-0.515195
382,-0.001218,-0.454473,-0.515195
383,-0.001217,-0.454473,-0.516713
384,-0.001216,-0.454473,-0.513677
385,-0.001215,-0.454473,-0.515195
386,-0.001214,-0.454473,-0.515195
387,-0.001213,-0.454473,-0.515195
388,-0.001212,-0.454473,-0.515195
389,-0.001211,-0.454473,-0.515195
390,-0.00121,-0.454473,-0.515195
391,-0.001209,-0.454473,-0.516713
392,-0.001208,-0.454473,-0.515195
393,-0.001207,-0.454473,-0.515195
394,-0.001206,-0.454473,-0.515195
395,-0.001205,-0.454473,-0.515195
396,-0.001204,-0.454473,-0.515195
397,-0.001203,-0.454473,-0.515195
398,-0.001202,-0.454473,-0.515195
399,-0.001201,-0.454473,-0.515195
400,-0.0012,-0.452955,-0.515195
401,-0.001199,-0.454473,-0.515195
402,-0.001198,-0.454473,-0.515195
403,-0.001197,-0.454473,-0.515195
404,-0.001196,-0.454473,-0.515195
405,-0.001195,-0.454473,-0.515195
406,-0.001194,-0.454473,-0.515195
407,-0.001193,-0.454473,-0.515195
408,-0.001192,-0.454473,-0.515195
409,-0.001191,-0.454473,-0.515195
410,-0.00119,-0.454473,-0.515195
