"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.316040040E-1,-1.651000977E-1,8.613586426E-2,9.645462036E0,9.647259472E0
3.339233400E-1,-1.651000977E-1,7.417297363E-2,9.643081665E0,9.644780126E0
3.362731930E-1,-1.651000977E-1,9.332275391E-2,9.643081665E0,9.644946406E0
3.385925290E-1,-1.555328369E-1,8.613586426E-2,9.645462036E0,9.647100484E0
3.409423830E-1,-1.627044678E-1,9.809875488E-2,9.633499146E0,9.635372432E0
3.432617190E-1,-1.507415771E-1,1.004943848E-1,9.626327515E0,9.628032175E0
3.456115720E-1,-1.507415771E-1,8.613586426E-2,9.626327515E0,9.627893011E0
3.479309080E-1,-1.674957275E-1,9.332275391E-2,9.628723145E0,9.630632033E0
3.502807620E-1,-1.651000977E-1,8.853149414E-2,9.628723145E0,9.630545429E0
3.526000980E-1,-1.698913574E-1,8.375549316E-2,9.645462036E0,9.647321698E0
3.549499510E-1,-1.698913574E-1,7.656860352E-2,9.645462036E0,9.647261980E0
3.572692870E-1,-1.818542480E-1,7.177734375E-2,9.631118774E0,9.633102917E0
3.596191410E-1,-1.866455078E-1,6.700134277E-2,9.655044556E0,9.657080879E0
3.619384760E-1,-1.914215088E-1,6.700134277E-2,9.621536255E0,9.623673481E0
3.642883300E-1,-1.722869873E-1,7.656860352E-2,9.633499146E0,9.635343862E0
3.666076660E-1,-1.746826172E-1,5.743408203E-2,9.640686035E0,9.642439521E0
3.689575190E-1,-1.746826172E-1,6.939697266E-2,9.655044556E0,9.656873994E0
3.712768550E-1,-1.698913574E-1,5.264282227E-2,9.662216187E0,9.663853061E0
3.736346790E-1,-1.866455078E-1,5.981445312E-2,9.652648926E0,9.654638554E0
3.759845320E-1,-1.818542480E-1,5.503845215E-2,9.652648926E0,9.654518708E0
3.783038680E-1,-1.770629883E-1,5.503845215E-2,9.643081665E0,9.644864153E0
3.806537220E-1,-1.890258789E-1,5.264282227E-2,9.647857666E0,9.649852828E0
3.829730580E-1,-1.890258789E-1,6.460571289E-2,9.621536255E0,9.623609748E0
3.852923940E-1,-1.842498779E-1,7.177734375E-2,9.626327515E0,9.628358189E0
3.876422470E-1,-1.890258789E-1,7.177734375E-2,9.626327515E0,9.628450768E0
3.899615830E-1,-1.770629883E-1,6.939697266E-2,9.623931885E0,9.625810728E0
3.923114370E-1,-1.842498779E-1,6.700134277E-2,9.640686035E0,9.642679318E0
3.946307730E-1,-1.698913574E-1,7.417297363E-2,9.643081665E0,9.644863332E0
3.969806260E-1,-1.770629883E-1,6.700134277E-2,9.650253296E0,9.652110088E0
3.992999620E-1,-1.746826172E-1,5.743408203E-2,9.640686035E0,9.642439521E0
4.016498160E-1,-1.914215088E-1,5.024719238E-2,9.635894775E0,9.637926909E0
4.039691520E-1,-1.962127686E-1,5.264282227E-2,9.633499146E0,9.635640949E0
4.063190050E-1,-1.962127686E-1,7.177734375E-2,9.635894775E0,9.638159553E0
4.086383410E-1,-1.818542480E-1,5.981445312E-2,9.621536255E0,9.623440582E0
4.109881950E-1,-1.842498779E-1,7.177734375E-2,9.626327515E0,9.628358189E0
4.133075300E-1,-1.890258789E-1,6.700134277E-2,9.626327515E0,9.628416349E0
4.156573840E-1,-1.938171387E-1,6.221008301E-2,9.619140625E0,9.621294172E0
4.180072370E-1,-1.818542480E-1,5.981445312E-2,9.635894775E0,9.637796266E0
4.203265730E-1,-1.842498779E-1,5.981445312E-2,9.635894775E0,9.637841766E0
4.226764270E-1,-1.746826172E-1,6.700134277E-2,9.631118774E0,9.632935796E0
4.249957630E-1,-1.746826172E-1,6.460571289E-2,9.643081665E0,9.644880088E0
4.273456160E-1,-1.770629883E-1,6.700134277E-2,9.628723145E0,9.630584088E0
4.296649520E-1,-1.962127686E-1,5.743408203E-2,9.643081665E0,9.645248681E0
4.320148060E-1,-1.866455078E-1,5.743408203E-2,9.635894775E0,9.637873383E0
4.343341420E-1,-1.914215088E-1,6.700134277E-2,9.631118774E0,9.633253875E0
4.366839950E-1,-1.890258789E-1,6.939697266E-2,9.635894775E0,9.637998488E0
4.390033310E-1,-1.794586182E-1,6.221008301E-2,9.638290405E0,9.640161691E0
4.413531850E-1,-1.794586182E-1,6.939697266E-2,9.650253296E0,9.652171259E0
4.436725210E-1,-1.794586182E-1,6.460571289E-2,9.635894775E0,9.637782287E0
